"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2019 - 01","138620","17.3","2","-71.4","8.7","1","-66.7","0","0","-100.0"
"2019 - 02","138635","43.3","5","150.0","8.7","1","0.0","0","0","NaN.0"
"2019 - 03","138651","77.9","9","80.0","8.7","1","0.0","0","0","NaN.0"
"2019 - 04","138667","51.9","6","-33.3","26","3","200.0","0","0","NaN.0"
"2019 - 05","138683","26","3","-50.0","17.3","2","-33.3","8.7","1","NaN.0"
"2019 - 06","138699","77.9","9","200.0","26","3","50.0","0","0","-100.0"
"2019 - 07","138715","77.9","9","0.0","26","3","0.0","0","0","NaN.0"
"2019 - 08","138726","17.3","2","-77.8","8.7","1","-66.7","0","0","NaN.0"
"2019 - 09","138738","25.9","3","50.0","8.6","1","0.0","0","0","NaN.0"
"2019 - 10","138749","25.9","3","0.0","8.6","1","0.0","0","0","NaN.0"
"2019 - 11","138760","43.2","5","66.7","17.3","2","100.0","0","0","NaN.0"
"2019 - 12","138772","43.2","5","0.0","25.9","3","50.0","0","0","NaN.0"
"2020 - 01","138783","34.6","4","-20.0","0","0","-100.0","8.6","1","NaN.0"
"2020 - 02","138794","17.3","2","-50.0","0","0","NaN.0","8.6","1","0.0"
"2020 - 03","138806","34.6","4","100.0","0","0","NaN.0","0","0","-100.0"
"2020 - 04","138817","51.9","6","50.0","17.3","2","NaN.0","NaN","NaN","NaN.0"
"2020 - 05","138828","8.6","1","-83.3","0","0","-100.0","NaN","NaN","NaN.0"
"2020 - 06","138840","0","0","-100.0","8.6","1","NaN.0","NaN","NaN","NaN.0"
