"Year - Month","Population","Rate of ED visits","Count of ED visits","change of ED visits (%)","Rate of Hospitalizations","Count of Hospitalizations","change of Hospitalizations (%)","Rate of Deaths","Count of Deaths","change of Deaths (%)"
"2004 - 09","2594152","9.7","21","-12.5","3.2","7","-46.2","NaN","NaN","NaN.0"
"2004 - 10","2594466","10.2","22","4.8","4.6","10","42.9","NaN","NaN","NaN.0"
"2004 - 11","2594780","12.9","28","27.3","5.1","11","10.0","NaN","NaN","NaN.0"
"2004 - 12","2595095","6","13","-53.6","3.7","8","-27.3","NaN","NaN","NaN.0"
"2005 - 01","2595409","12","26","100.0","6.5","14","75.0","1.8","4","NaN.0"
"2005 - 02","2595723","7.9","17","-34.6","7.9","17","21.4","1.4","3","-25.0"
"2005 - 03","2596038","8.8","19","11.8","6","13","-23.5","1.4","3","0.0"
"2005 - 04","2596352","12.5","27","42.1","6","13","0.0","2.3","5","66.7"
"2005 - 05","2596666","11.6","25","-7.4","6","13","0.0","6.5","14","180.0"
"2005 - 06","2596981","12","26","4.0","9.2","20","53.8","2.3","5","-64.3"
"2005 - 07","2597295","16.6","36","38.5","6.9","15","-25.0","4.6","10","100.0"
"2005 - 08","2598288","17.1","37","2.8","11.5","25","66.7","4.2","9","-10.0"
"2005 - 09","2599280","12.9","28","-24.3","3.2","7","-72.0","4.2","9","0.0"
"2005 - 10","2600273","8.8","19","-32.1","6.9","15","114.3","2.8","6","-33.3"
"2005 - 11","2601266","13.8","30","57.9","5.1","11","-26.7","4.2","9","50.0"
"2005 - 12","2602258","8.8","19","-36.7","6.5","14","27.3","5.1","11","22.2"
"2006 - 01","2603251","10.1","22","15.8","3.7","8","-42.9","1.8","4","-63.6"
"2006 - 02","2604244","10.1","22","0.0","6.5","14","75.0","2.8","6","50.0"
"2006 - 03","2605236","15.2","33","50.0","6.9","15","7.1","6.4","14","133.3"
"2006 - 04","2606229","13.4","29","-12.1","5.5","12","-20.0","1.4","3","-78.6"
"2006 - 05","2607222","11","24","-17.2","5.1","11","-8.3","3.7","8","166.7"
"2006 - 06","2608214","11.5","25","4.2","1.4","3","-72.7","5.5","12","50.0"
"2006 - 07","2609207","19.3","42","68.0","7.4","16","433.3","2.8","6","-50.0"
"2006 - 08","2609906","17.5","38","-9.5","8.7","19","18.8","3.2","7","16.7"
"2006 - 09","2610606","8.7","19","-50.0","4.6","10","-47.4","2.8","6","-14.3"
"2006 - 10","2611305","10.6","23","21.1","5.5","12","20.0","4.1","9","50.0"
